Building type,Construction year,Metal,Minerals,Plastic,Wood
SFH Detached,1900,0.029079999999999977,2.2029999999999985,0.019079999999999993,0.021533333333333324
SFH Detached,1918,0.02922399999999998,2.1993999999999985,0.01922399999999999,0.021293333333333324
SFH Detached,1945,0.029439999999999984,2.193999999999999,0.019439999999999992,0.020933333333333328
SFH Detached,1961,0.029567999999999997,2.1908,0.019568000000000002,0.02072
SFH Detached,1970,0.029639999999999996,2.1889999999999996,0.01964,0.0206
SFH Detached,1981,0.02972799999999999,2.1867999999999994,0.019728,0.02045333333333333
SFH Detached,1991,0.029808,2.1848,0.019808000000000006,0.020320000000000005
SFH Detached,2011,0.029968000000000012,2.1808000000000005,0.019968000000000007,0.020053333333333343
SFH Detached,2016,0.030008000000000003,2.1798,0.02000800000000001,0.019986666666666673
SFH Detached,2020,0.03004,2.1790000000000003,0.020040000000000006,0.019933333333333334
SFH Detached,2035,0.030160000000000006,2.176,0.020160000000000004,0.019733333333333335
SFH Semi-detached,1900,0.02896893207595184,2.1945858790688417,0.019007125997564007,0.02145108908879516
SFH Semi-detached,1918,0.029111585527746727,2.1909396800481167,0.019150052018389107,0.021211425352592177
SFH Semi-detached,1945,0.0293255462652339,2.185470397619673,0.019364423213184344,0.020851950922290412
SFH Semi-detached,1961,0.029452326746643283,2.1822293505325385,0.01949144784152854,0.020638941091397755
SFH Semi-detached,1970,0.02952363713178807,2.1804062645574924,0.019562895859254987,0.02051912702141816
SFH Semi-detached,1981,0.029610790703140946,2.1781780513195854,0.019650217942396554,0.020372691486642544
SFH Semi-detached,1991,0.029690017809662007,2.1761524057484416,0.019729598523006753,0.0202395719904835
SFH Semi-detached,2011,0.029848462236536692,2.1721011227122,0.019888350705391238,0.019973343657123683
SFH Semi-detached,2016,0.02988807129821161,2.1710883036470827,0.019928036874654026,0.0199067888012171
SFH Semi-detached,2020,0.02991975795708029,2.1702780488840867,0.019959785268305233,0.01985354555962496
SFH Semi-detached,2035,0.030038578243417057,2.167239597403034,0.020078837446528112,0.019653888505860848
SFH Terraced,1900,0.02856754491407979,2.164178179013679,0.018743767433309584,0.021153867508591877
SFH Terraced,1918,0.028744695585145183,2.163327520872171,0.01890870612951106,0.02094410021419695
SFH Terraced,1945,0.02901129257586219,2.162050812209295,0.01915691330416987,0.020628500608742592
SFH Terraced,1961,0.02916977180314825,2.161293833412378,0.019304453958468786,0.02044093857417586
SFH Terraced,1970,0.029259079257295022,2.160867897915614,0.019387595027438406,0.02033525751350464
SFH Terraced,1981,0.029368392582781015,2.160347177745746,0.019489358479315932,0.020205917752953932
SFH Terraced,1991,0.029467921241771812,2.159873669116447,0.01958201100231536,0.020088169606575525
SFH Terraced,2011,0.02966741701173239,2.1589262886807923,0.01976771832922692,0.019852195757984303
SFH Terraced,2016,0.029717382578802156,2.158689367677717,0.019814229226761987,0.019793102499610964
SFH Terraced,2020,0.029757381487481475,2.1584998089621217,0.019851462217347834,0.0197457990784664
SFH Terraced,2035,0.02990758727224497,2.1577887899338544,0.019991278494975416,0.019568182653811914
MFH Small,1900,0.02811968834932595,2.130250118073077,0.018449919315857613,0.020822235985401845
MFH Small,1918,0.02841697622856954,2.1386633423595622,0.018693127259034388,0.020705315739130196
MFH Small,1945,0.02886676514393168,2.1512799838921914,0.019061478070585326,0.020525734273538383
MFH Small,1961,0.029135502453836754,2.1587546934478343,0.019281774621776167,0.020416924068029543
MFH Small,1970,0.029287388533102955,2.1629586200729545,0.019406353265524368,0.02035493265121191
MFH Small,1981,0.029473734607327086,2.1680961665535143,0.019559265215734287,0.020278394728937818
MFH Small,1991,0.029643817274908627,2.1727661024631093,0.019698897362499676,0.02020807726201501
MFH Small,2011,0.02998592426613111,2.182104365976332,0.01997994313087647,0.020065327503230646
MFH Small,2016,0.030071856767425725,2.1844385957622827,0.020050576852927687,0.02002919812244342
MFH Small,2020,0.030140719922811598,2.186305882550149,0.020107191320011472,0.02000016701491493
MFH Small,2035,0.030399886183103426,2.193307438144332,0.02032034832398425,0.019890288041995167
MFH Medium,1900,0.028251359755035774,2.1402250873570776,0.01853631169622018,0.02091973681998294
MFH Medium,1918,0.02847890817335845,2.1433243442541947,0.018733867051897175,0.020750440894631562
MFH Medium,1945,0.028822369970103227,2.1479714576904376,0.019032162779171427,0.020494167053017244
MFH Medium,1961,0.02902712065219258,2.1507242939943017,0.019210047920796284,0.020340974699453136
MFH Medium,1970,0.029142692971790674,2.1522724330381164,0.01931047536997196,0.020254368259746556
MFH Medium,1981,0.02928434043114166,2.1541642779474093,0.019433580060063335,0.020148088545645548
MFH Medium,1991,0.029413486397794113,2.1558838258823325,0.019545837982001678,0.020051061580890244
MFH Medium,2011,0.029672855185401394,2.1593220297758724,0.01977134184270205,0.01985583475655975
MFH Medium,2016,0.02973792241566492,2.160181394350386,0.019827924276613697,0.019806782947250384
MFH Medium,2020,0.029790041174393458,2.1608688321905243,0.01987324983804411,0.019767470730456378
MFH Medium,2035,0.029986001985842774,2.163446297121813,0.020043693635099148,0.019619488478800753
MFH Large,1900,0.028350860199407395,2.147762896124295,0.018601596031798256,0.020993415507585034
MFH Large,1918,0.0285501603803938,2.148686789646802,0.018780737857674878,0.020802357025042847
MFH Large,1945,0.028850548388796377,2.150071439029187,0.019050769724123697,0.020514203338048154
MFH Large,1961,0.029029374558390712,2.1508912940517577,0.019211539548112472,0.020342554141296522
MFH Large,1970,0.029130233159969928,2.151352239783204,0.0193022192733404,0.020245708606456837
MFH Large,1981,0.02925376851778145,2.1519153994444458,0.019413292024986296,0.020127054586597037
MFH Large,1991,0.02936632579526455,2.152427153700147,0.019514498837647627,0.020018912377877607
MFH Large,2011,0.029592164104643076,2.1534500627137483,0.019717576509660734,0.019801839657137922
MFH Large,2016,0.029648774927042952,2.1537056646883572,0.01976848469542374,0.019747406742929616
MFH Large,2020,0.029694107254374567,2.153910110095945,0.019809251310841092,0.019703812847443398
MFH Large,2035,0.02986444992701706,2.1546764934081275,0.019962443983045888,0.019539958396103115
